Title,Location,Rooms,Size,Floor,Series,Price
"Сдаётся на короткие сроки
Возможна почасовая аренда
Все Удобст",ImantaRigondas g. 8,1,37,7/9,602.,29  €/dienā
"Īpašnieks izīrē ilgtermiņā, 
2 istabu dzīvoklis ar visam ērtībā",Šampēteris-PleskodāleZalves 42,2,45,3/3,Staļina,290  €/mēn.
Izīrē plašu mūsdienīgu 2-istabu dzīvokli ar franču balkonu “Merk,centrsRūpniecības 25,2,53,3/6,Jaun.,825  €/mēn.
"Labdien . Izīrē 3 istabu dzīvokli labā stāvoklī, no īpašnieka. A",Šampēteris-PleskodāleLielirbes 13,3,90,4/30,Jaun.,800  €/mēn.
"Сдается уютная, светлая 1-комнатная квартира с застекленной лодж",PļavniekiPļavnieku 2,1,37,6/9,602.,280  €/mēn.
"Labdien . Izīrē 3 istabu dzīvokli labā stāvoklī, no īpašnieka. A",Šampēteris-PleskodāleLielirbes 13,3,90,6/30,Jaun.,800  €/mēn.
"Labdien . Izīrē 3 istabu dzīvokli labā stāvoklī, no īpašnieka. A",Šampēteris-PleskodāleLielirbes 13,3,90,5/30,Jaun.,800  €/mēn.
"Izīrējam, Сдаем, Rent
Izīrējam dzīvokli labā stāvoklī ar mēbelē",SarkandaugavaAptiekas 6,3,63,2/5,Staļina,440  €/mēn.
Silts un saulains dzīvoklis. Ir iespēja novietot auto mājas paga,centrsBrīvības 90,2,54,3/5,P. kara,380  €/mēn.
Īstermiņa īre pie Akropole un krasta Lido. Cena 30ur/nakts (2 pe,Maskavas priekšpilsētaMaskavas 226,1,25,1/2,Specpr.,35  €/dienā
Īrei tiek piedāvāts tikko izremontēts elegants un gaišs 2 istabu,centrsČaka 31,2,60,3/4,Renov.,650  €/mēn.
Izīrēju skaistu un kvalitatīvu 3 istabu dzīvokli Klusajā centrā.,centrsRūpniecības 25,3,64,2/6,Jaun.,"1,000  €/mēn."
Īrei tiek piedāvāts plašs un gaišs 3 istabu dzīvoklis ar 2 guļam,centrsDzirnavu 53,3,120,5/6,Renov.,650  €/mēn.
"Īrei piedāvājam pārdomāti iekārtotu, mēbelētu divistabu dzīvokli",centrsLāčplēša 68a,2,52,3/6,Renov.,500  €/mēn.
Ilgtermiņā izīrē 3 istabu dzīvokli tikko renovētā un siltinātā n,centrsEksporta 2A,3,76,2/5,Specpr.,750  €/mēn.
"Сдаю 2, 5 комнатную квартиру. Остановка общественного транспорта",JuglaSilciema 9,2,47,2/5,Hrušč.,280  €/mēn.
"Izīrēju gaišu un mājīgu 1 istabas dzīvokli Juglā. 
+ renovēta k",JuglaMārkalnes 5,1,18,4/5,Hrušč.,220  €/mēn.
"Квартира-студия с балконом. 32м2.
После полного ремонта, новая",MežaparksViestura pr. 95,1,32,2/10,Jaun.,380  €/mēn.
Aicinām īrēt gaumīgi iekārtotu un mēbelētu divu istabu dzīvokli,centrsVīlandes 16,2,65,4/6,P. kara,650  €/mēn.
"Mājas īpašnieks piedāvā dzīvokļi īres namā. 
Gaišs, silts un ēr",centrsElijas 19,1,26,1/5,Renov.,330  €/mēn.
"Rvr Smart Apartaments
Piedāvā īstermiņa īrei mājīgu Studio apar",TeikaZemgala 77,1,12,3/4,Renov.,27  €/dienā
Izīrēju uz dažādiem termiņiem mājīgus apartamentus Brīvības ielā,centrsBrīvības 148,2,35,2/5,P. kara,40  €/dienā
Ilgtermiņa īrei tiek piedāvāta jaunuzceltā 2 stāvu rindu māja Zi,ZiepniekkalnsPutnu 3,5,107,2/2,Jaun.,"1,500  €/mēn."
"Izīrē divu istabu dzīvokli Mežciemā. 

Tiek meklēti uzticami u",MežciemsHipokrāta 45,2,51,6/9,119.,350  €/mēn.
Company rents out high quality apartments for long term rent. Fu,centrsČaka 33,2,45,3/6,P. kara,400  €/mēn.
"Specprojekts, zemi komunālie, brīva Autostāvvieta. 

Ilgtermiņ",TeikaŪnijas 28,1,34,4/5,Specpr.,295  €/mēn.
Saulains studijas tipa dzīvoklis ar skatu uz Alauksta ielu. Bez,centrsAlauksta 13,1,24,6/6,Renov.,320  €/mēn.
"Сдаю на длительный срок чистую, теплую и уютную однокомнатную кв",MangaļsalaTraleru 19,1,34,3/5,103.,230  €/mēn.
"Saulains studijas tipa dzīvoklis ar skatu uz Alauksta ielu, tikk",GrīziņkalnsAlauksta 13,1,24,6/6,Renov.,320  €/mēn.
Tiek piedāvāts mājīgs divistabu dzīvokļis jaunbūvē Daugavas Kras,ĶengaragsĶengaraga 10,2,36,4/5,Jaun.,400  €/mēn.
"Tiek piedāvāts trīsistabu dzīvoklis siltā, klusā pirmskara mājā",centrsČaka 117,3,66,4/6,P. kara,480  €/mēn.
Pieejams no 23.05.24 dzivoklis kiegelu maja 41.7m2 viena istaba,Maskavas priekšpilsētaVirsaišu 9,2,42,1/5,Hrušč.,300  €/mēn.
Iziresu velams uz ilgu periodu divistabu dzivokli vecpilseta bla,VecrīgaVāgnera 12,2,35,4/4,P. kara,399  €/mēn.
"Высокие потолки, много света, воздуха и пространства. 
Три спал",centrsSporta 3,5,160,3/5,Renov.,"1,200  €/mēn."
Tiek izīrēts mājīgs labiekārtots 2-istabu dzīvoklis jaunajā proj,ImantaAnniņmuižas 38,2,57,2/18,Jaun.,530  €/mēn.
"Gaišs, silts 4.stāva dzīvoklis īrei uz ilgu laiku. 
Ir labiekār",PurvciemsIeriķu 66,2,50,4/9,Specpr.,300  €/mēn.
1 room with single bed only for 1 student -girl (women) or worki,centrsBaznīcas 7,1,12,6/6,P. kara,250  €/mēn.
"Izīrēju 1-istabas dzīvokli ar krāsns (Jotul krāsniņa) apkuri, vē",Šampēteris-PleskodāleKukšu 11,1,27,1/2,M. ģim.,150  €/mēn.
"Lv Ru Eng
Ērts kluss dzīvoklis renovēta ekā San Antonia. 

Sa",centrsAntonijas 11,2,57,3/6,Renov.,700  €/mēn.
Īpašnieks bez starpniekiem ilgtermiņā izīrē gaišu studio tipa dz,SarkandaugavaTilta 12,1,32,4/4,P. kara,280  €/mēn.
Izīrē ilgtermiņā 2 istabu dzīvokli pilsētas centrā pirmskara ēkā,centrsMaiznīcas 8,2,50,1/2,P. kara,380  €/mēn.
"Lv Ru Eng
Ērts kluss dzīvoklis renovēta ekā Sanantonia. 

Sak",centrsAntonijas 11,2,57,3/6,Renov.,700  €/mēn.
"Сдаю на долгий срок квартиру, после ремонта. Второй этаж, две ко",Šampēteris-PleskodāleZalves 40,2,42,2/3,Hrušč.,280  €/mēn.
"Īrei tiek piedāvāts dzīvoklis renovētā, koptā saimnieka mājā. Dz",centrsLejas 18a,1,30,3/3,Renov.,350  €/mēn.
"Dzīvoklis tikko pēc remonta, ar jaunu sadzīves tehniku, 24/7 dzī",centrsMiera 61 k. 1,3,62,6/7,Jaun.,700  €/mēn.
Ilgtermiņā izīrē studio 1-istabas dzīvokli Meirānu ielā 8 ar vis,PļavniekiRencēnu 12,1,19,1/2,Renov.,200  €/mēn.
"Spacious 3 room apartment for rent in the Quiet Center of Riga,",centrsVīlandes 5,3,75,1/5,P. kara,650  €/mēn.
"Izīrē mēbelētu 2 istabu dzīvokli 38m2, Avotu ielā 53 ceturtajā s",centrsAvotu 53,2,38,4/4,P. kara,440  €/mēn.
Хозяин сдает квартиру возле т/ц Альфа /3мин. ходьбы/ на длительн,TeikaBrīvības 362,1,32,6/7,Specpr.,330  €/mēn.
Izīrē 3-ist. dzīvokli. Viena istaba ir caurstaigājama. Tiek izīr,centrsDzirnavu 132,3,53,4/5,P. kara,360  €/mēn.
Izīrē ilgtermiņā 2 istabu dzīvokli pilsētas centrā pirmskara ēkā,centrsMaiznīcas 8,2,50,1/2,P. kara,380  €/mēn.
"Īpašnieks izīrē 2-istabu dzīvokli Rīgā, Stabu ielā 104. Slēdzama",centrsStabu 104,2,50,5/5,LT proj.,380  €/mēn.
"Lv
(01.-03.05, 2 cilvēki) - piemērs, Lai rezervētu, rakstiet Sm",centrsKalniņa 1,1,20,4/6,Renov.,35  €/dienā
Ilgtermiņā tiek piedāvāts gaišs un ērts 2- istabu dzīvoklis spec,centrsHospitāļu 1,2,57,5/7,Specpr.,450  €/mēn.
"Ilgtermiņa īrei 
Izīrējam svaigi remontētu un pilnībā labiekārt",TeikaBurtnieku 1,2,34,3/5,Renov.,490  €/mēn.
"Tiek izīrēts gaišs dzīvoklis. Tuvumā ir skola, dārziņš, tirdziņš",ImantaSlokas 183,2,50,2/9,602.,340  €/mēn.
"Сдам квартиру, желательно на длительный срок. Теплая, не шумный",MežciemsEizenšteina 19,2,53,4/5,LT proj.,400  €/mēn.
"Izīrējam dzīvokli, klusais centrs Vēstniecību rajons, pagalma mā",centrsDzirnavu 6,3,58,3/5,Renov.,750  €/mēn.
"Tiek izīrēts 3 istabu dzīvoklis Rīgā, Pētersalas ielā 2. Dzīvokl",centrsPētersalas 2,3,65,2/5,P. kara,570  €/mēn.
Ekskluzīvajā jaunajā projektā Rīgas sirdī ilgtermiņā izīrējam sk,ĀgenskalnsRaņķa d. 34,3,116,15/23,Jaun.,"1,750  €/mēn."
No 1.jūnija izīrē 1-istabas dzīvokli uz ilgstošu laiku kārtīgiem,PļavniekiPavasara g. 6,1,32,2/9,602.,280  €/mēn.
"Īrei no 1. jūlija pieejams ekonomisks, pilnībā mēbelēts vienista",SarkandaugavaTvaika 54 k-1,1,30,5/5,Hrušč.,330  €/mēn.
"Vienistabas dzīvoklis blakus Grīziņkalnam ilgtermiņa īrei. 

A",centrsAsara 15,1,35,1/4,Staļina,350  €/mēn.
"Projekts - J5, jaunceltne, fasādes māja, pagrabstāvā pieejama no",centrsJeruzalemes 5,3,106,2/7,Jaun.,"1,400  €/mēn."
Aicinām īrēt gaumīgi iekārtotu un mēbelētu divu istabu dzīvokli,centrsVīlandes 16,2,63,2/6,P. kara,650  €/mēn.
Tiek izīrēts ilgtermiņā 2 istabu dzīvoklis ar labu plānojumu 1.s,Krasta r-nsKojusalas 19,2,45,1/12,Čehu pr.,350  €/mēn.
Piedāvājam ilgtermiņa īrei jaunu 2 līmeņu 2 guļamistabu dzīvokli,KlīversalaKuģu 28,3,146,1/7,Jaun.,"3,500  €/mēn."
Īsts penthouse ar terasēm un nepārspējami fascinējošu skatu uz D,KlīversalaKuģu 26,5,289,6/6,Jaun.,"4,770  €/mēn."
"Īstermiņa īrei (minimums 3 naktis) izīrējam labiekārtotu, skaist",centrsStabu 21,2,72,2/6,P. kara,78  €/dienā
Ilgtermiņā izīrēju mēbelētu 1-istabas dzīvokli saulainajā pusē.,DaugavgrīvaBirzes 46,1,37,2/5,103.,250  €/mēn.
Izīrē gaišu un mājīgu 2 istabas dzīvokli ar balkonu Ķengaragā 10,ĶengaragsGlūdas 11,2,45,4/5,LT proj.,300  €/mēn.
Izīrē mēbelētu 2-istabu dzīvokli restaurētā namīpašumā pašā Rīga,centrsElizabetes 89A,2,46,3/3,Renov.,600  €/mēn.
Izīrē pilnīgi renovēts 2-istabu dzīvokli ilgtermiņa īrei Rīgas c,ĀgenskalnsErnestīnes 7B,2,33,2/3,Specpr.,400  €/mēn.
Izīrē mēbelētu 1-istabas studio-tipa dzīvokli restaurētā namīpaš,centrsElizabetes 89,1,30,1/5,Renov.,450  €/mēn.
"Сдаю комнату на длительный срок. 
Полуподвальное помещение с ок",VecmīlgrāvisVecmīlgrāvja 1. l. 8,1,15,1/3,P. kara,95  €/mēn.
"Center Riga quiet apartment in Upisha Passage
The perfect locat",centrsMarijas 16,2,65,3/7,Renov.,650  €/mēn.
Ilgstoši un tikai pieklājīgiem cilvēkiem tiek izīrēts 2-istabu d,Krasta r-nsZilupes 1/2,2,48,3/3,Staļina,290  €/mēn.
"Īpašnieks izīrē vienas istabas dzīvokli, vēlams kārtīgam īrnieka",TorņakalnsKoku 15,1,38,5/6,M. ģim.,230  €/mēn.
Izīrēju mazu studio tipa dzīvoklīti sadalītu divos līmeņos ar vi,ČiekurkalnsČiekurkalna 5. šķ l. 1,1,22,1/1,P. kara,150  €/mēn.
"Ilgtermiņā tiek izīrēts gaišs, mājīgs un kvalitatīvi izremontēts",ZiepniekkalnsLīvciema 49,2,49,6/9,602.,390  €/mēn.
Lieliska atrašanās vieta: kluss un silts divistabu dzīvoklis ar,centrsAvotu 7,2,48,2/5,P. kara,350  €/mēn.
"Ilgtermiņā izīrē divu istabu dzīvokli renovētā mājā. 
Šogad pab",JuglaBrīvības 365A,2,43,1/2,P. kara,490  €/mēn.
"Izīrē 2.istabu dzīvokli, ar izolētām istabām, 45m2, renovētā, pi",centrsTērbatas 59,2,45,3/6,Renov.,420  €/mēn.
"Parkings bezmaksas. Saulains, silts, stilīgs, kluss un ļoti tīrs",centrsLāčplēša 111,1,40,6/6,Jaun.,45  €/dienā
Namīpašnieks izīrē dzīvokli ar malkas apkuri. Dzīvoklī ir pakešu,centrsBruņinieku 115A,1,20,4/5,P. kara,160  €/mēn.
"Saules Aplīts Dzīvoklis Rīgas Mierīgajā Centrā

Izbaudiet klus",centrsStabu 115,1,35,1/4,P. kara,180  €/mēn.
"Saimnieks izīrē saulainu, siltu 1 istabas dzīvokli ar krāsns apk",ČiekurkalnsČiekurkalna 2. l. 6b,1,22,2/2,P. kara,160  €/mēn.
Piedāvājam ilgtermiņa īrei aprīkotu un pilnībā mēbelētu 4-istabu,centrsJ. Daliņa 8,4,164,20/23,Jaun.,"3,500  €/mēn."
"Īpašnieks izīrē ilgtermiņā. Izīrē klusu, saulainu, labiekārtotu,",centrsĢertrūdes 86,1,36,3/6,P. kara,390  €/mēn.
"Pašā Rīgas centrā, Tērbatas un Lāčplēša ielu krustojumā, izīrē v",centrsTērbatas 33/35,1,25,2/5,Renov.,380  €/mēn.
Ilgtermiņa īrei tiek piedāvāts 2 istabu dzīvoklis jaunā divpadsm,MežaparksĶempes 2,2,47,3/12,Jaun.,800  €/mēn.
"Pašā Rīgas centrā, pirmskara mājā, tiek izīrēts ilgtermiņa īrē s",centrsČaka 33,2,43,3/6,P. kara,395  €/mēn.
"В центре Риги в новом современном проекте ""Skanstes virsotnes"" с",centrsGrostonas 25,3,108,17/25,Jaun.,"1,400  €/mēn."
Tiek izīrēts studijas tipa dzīvoklis ēkas 5 stāvā. Dzīvoklis mēb,TeikaKastrānes 1,1,17,5/5,Renov.,240  €/mēn.
1902. gadā tēlnieks Augusts Folcs uzticēja divpadsmit atlantiem,centrsValdemāra 27,4,81,4/6,Renov.,"1,200  €/mēn."
Izīrē mājīgu un modernu studijas tipa vienistabas dzīvokli renov,MežaparksEzermalas 4a,1,27,5/5,Renov.,300  €/mēn.
"Сдается 4к квартира, очень хорошее расположение, рядом сады, шко",MežciemsGaiļezera 2,4,76,8/9,602.,550  €/mēn.
Bez komisijas maksas izīrē 3 istabu dzīvokli Miera un Annas iela,centrsMiera 19,3,76,1/5,P. kara,470  €/mēn.
"Tiek izīrēts ilgam laikam, vairāk kā 1 gads - dzīvoklis ar visām",IļģuciemsStūres 7,1,27,1/5,LT proj.,260  €/mēn.
"В центре Риги в новом современном проекте ""Skanstes virsotnes"" с",centrsJ. Daliņa 8,4,164,20/24,Jaun.,"3,500  €/mēn."
Dzīvoklis pēc remonta ilgtermiņa īrei vienam cilvēkam bez kaitīg,centrsStabu 50,1,25,1/5,P. kara,280  €/mēn.
Īpašnieks ilgtermiņā izīrē saulainu un siltu vienistabas vidusdz,ČiekurkalnsGaujas 32,1,25,4/5,Hrušč.,320  €/mēn.
Jaunais projekts Kalnciema Kvartāla Rezidences sevī iemieso labi,ĀgenskalnsValentīna 16,2,52,2/3,Jaun.,680  €/mēn.
Izīrē divu istabu dzīvokli ar mēbelēm un visu nepieciešamu sadzī,centrsValdemāra 37,2,58,5/6,Renov.,800  €/mēn.
"Izīrē divistabu dzīvokli Juglas ielā 41. 

Plānojums - atseviš",JuglaJuglas 41,2,49,4/5,Hrušč.,450  €/mēn.
"Сдаю на длительный срок. Комната в доме типа общежития, туалет и",VecmīlgrāvisDombrovska 11,1,14,2/3,P. kara,80  €/mēn.
"Tiek izīrēts mājīgs 2 istabu dzīvoklis centrā, māja pēc remonta,",centrsČaka 33,2,44,3/5,P. kara,395  €/mēn.
"Izīrē dzīvokli dzīvojmās mājas projektā ""Park Alley""

+ Dzīvoj",centrsPulkv. Brieža 35,3,121,4/7,Jaun.,"1,200  €/mēn."
For rent is offered sunny and light apartment located in the cal,ĀgenskalnsValentīna 16,2,42,2/3,Renov.,550  €/mēn.
"Сдаётся под жильё комната 16 кв. м. , кухня 10 кв. м. туалет, ду",ČiekurkalnsČiekurkalna 5. šķ l. 3,1,24,2/2,Renov.,160  €/mēn.
"Izolētas istabas, 2 sanmezgli, slēgts pagalms, saulains dzīvokli",centrsČaka 53,4,94,2/2,P. kara,750  €/mēn.
Exclusive penthouse two-level apartment (each apartment has its,centrsGrēcinieku 26,6,389,5/5,Renov.,"5,000  €/mēn."
Izīrēju ilgtermiņā 2.istabu dzīvokli. Tiko veikt kapitālais remo,JuglaBrīvības 369,2,43,1/5,Hrušč.,550  €/mēn.
"Ar skatu uz Rīgas centru no 25.stāva. 
3 istabu dzīvoklis. Bez",ĀgenskalnsLielirbes 13,3,100,25/30,Jaun.,"1,100  €/mēn."
Bez komisijas maksas. Ilgtermiņā izīrējam 2 istabu dzīvokli ar g,ĀgenskalnsLielirbes 13,2,68,10/30,Jaun.,700  €/mēn.
Tiek izīrēts studijas tipa dzīvoklis ēkas 3 stāvā. Dzīvoklis mēb,TeikaKastrānes 1,1,25,3/5,Renov.,250  €/mēn.
Par saimnieka cenu uz ilgu laiku tiek piedāvāts īrei vienistabas,centrsKurbada 3B,1,23,3/6,P. kara,260  €/mēn.
"Ilgtermiņā Izīrējam jaunu, ļoti gaišu un siltu studijas tipa dzī",centrsČaka 87,1,32,1/4,Renov.,460  €/mēn.
"Pagalma māja, kapitālais remonts, koka stikla pakešu logi, 2 ist",centrsBrīvības 136,3,90,3/5,P. kara,500  €/mēn.
"3 istabu dzīvoklis. Bez komisijas maksas. 

Izīrējam 89 m2 pla",ĀgenskalnsLielirbes 13,3,89,14/30,Jaun.,"1,000  €/mēn."
Izīrē istabu vienai sievietei. privātmājas otrā stāvā ar atseviš,PļavniekiIlūkstes 55,1,20,2/2,Priv. m.,200  €/mēn.
"Tiek izīrēts gaišs, saulains un silts 2-istabu dzīvoklis jaunajā",ZiepniekkalnsLiesmas 4,2,57,4/6,Jaun.,500  €/mēn.
"Ar skatu uz Rīgas centru no 25.stāva. 
3 istabu dzīvoklis. Bez",Šampēteris-PleskodāleLielirbes 13,3,100,25/30,Jaun.,"1,100  €/mēn."
"Izire 2 istababa dzivokli. Zeme īpašumā, fasādes māja, fasāde ar",centrsKalniņa 6,2,79,5/5,Renov.,750  €/mēn.
"Saulains, mājīgs, gaišs un plašs dzīvoklis. Logi ir vērsti uz ie",centrsValdemāra 72,2,42,3/3,Specpr.,520  €/mēn.
"Ar plašu virtuves zonu, gaišs, daļēji mēbelēts, A+ energoefektiv",centrsMaskavas 190,3,59,4/9,Jaun.,650  €/mēn.
"Tiekt piedavats irei 4 istaba dzivokli, fasādes māja, slēgts pag",centrsČaka 53,4,94,2/2,P. kara,750  €/mēn.
"Dzīvojamais projekts, kurā vienkopus mājas ērtībām ir tikpat ērt",centrsSkanstes 29а,3,200,23/23,Jaun.,180  €/dienā
"Palss dzīvoklis ģimenei, kura novērtē silto atmosfēru un komfort",PurvciemsViršu 11,3,72,3/9,119.,420  €/mēn.
"Izīrē studijas tipa dzīvokli Iļģuciemā. 

Plānojums: Koridoris",IļģuciemsSlokas 76,1,32,1/4,P. kara,280  €/mēn.
Ilgtermiņa īrei tiek piedavāts divistabas dzivoklis Zolitūdē/šam,ZolitūdeEndzelīna 32,2,62,3/5,Jaun.,600  €/mēn.
"Tikko pēc kosmētiskā remonta tiek izīrēts pilnībā mēbelēts, silt",centrsBrīvības 162 k2,3,66,2/8,Specpr.,450  €/mēn.
"Īpašnieks izīrē dzīvokli Vecrīgā, Vaļņu ielā 3.
Atrašanās klusā",VecrīgaVaļņu 3,2,55,4/6,P. kara,550  €/mēn.
Izīrēju lielisku dzīvokli pašā Rīgas centrā pretī centrālajai dz,centrsRaiņa bulv. 31,1,30,6/6,P. kara,30  €/dienā
"Mājas saimnieks, bez starpniekiem, izīrē 28 m2 istabu četristabu",centrsLāčplēša 16,1,28,6/6,P. kara,130  €/mēn.
"Bez starpniecības komisijas maksas, īres maksa plus drošības nau",ZolitūdeGramzdas 17,2,60,3/9,119.,300  €/mēn.
"We rent out for different duration of stay. In addition, a clean",VecrīgaKalēju 47,2,38,1/3,P. kara,70  €/dienā
Tiek izīrēts 1-ist. dzīvoklis ar centrālo apkuri un visām ērtībā,SarkandaugavaHāpsalas 12,1,28,3/3,Renov.,250  €/mēn.
Tiek izīrēts divistabu dzīvoklis bez mēbelēm. Ir veļasmašīna. Me,ZiepniekkalnsZiepju 5,2,41,3/4,Hrušč.,200  €/mēn.
Ir pieejams viens no 25 dzīvokļiem Studijas tipa dzīvoklis ar vi,centrsMaskavas 104,1,20,3/3,P. kara,195  €/mēn.
"Two-bedroom apartment is for rent in the new project Futuris, lo",centrsAntonijas 16A,3,65,1/6,Jaun.,"1,350  €/mēn."
"Studio tipa 1 istabas dzīvoklis Centrā. 

Dzīvoklis ir saimnie",centrsAvotu 75,1,21,1/2,P. kara,200  €/mēn.
"Ērti apartamenti pilsētas vēsturiskajā centrā, ļoti piemēroti īs",centrsČaka 44,1,30,1/5,P. kara,30  €/dienā
Сдаётся на длительный срок 2-комнатная квартира (план на фото).,Krasta r-nsRītupes 34,2,50,3/9,467.,580  €/mēn.
"Izīrē dzīvokli tikko pēc kapitālā remonta. 
2 atsevišķas istaba",centrsĒveles 1,2,42,1/3,P. kara,375  €/mēn.
Izīrē tikko izremontētu dzīvokli Kalnciema kvartāla teritorijā.,ĀgenskalnsSlokas 23,3,70,1/2,P. kara,380  €/mēn.
"Pilnībā aprīkots, mēbelēts (var arī bez mēbelēm) dzīvoklis ekskl",centrsJeruzalemes 5,3,106,2/7,Jaun.,"1,400  €/mēn."
Premium klases dzīvojamajā kompleksā “Art Luxury House” Rīgas kl,centrsStrēlnieku 7,2,59,5/7,Jaun.,950  €/mēn.
Сдается 2 комнатная квартира. Со всеми удобствами и бытовой техн,ĶengaragsMaskavas 256/7,2,49,4/5,LT proj.,490  €/mēn.
2 room apartment in the new project Art Luxury House - Strelniek,centrsStrēlnieku 7,2,59,5/7,Jaun.,950  €/mēn.
Īpašnieks izīrē kompaktu mājīgu vienistabas dzīvokli ar visām ēr,ZiepniekkalnsZaļenieku 22,1,30,3/5,Hrušč.,260  €/mēn.
"Labdien . Izīrē 4 istabu dzīvokli labā stāvoklī, no īpašnieka. A",Šampēteris-PleskodāleLielirbes 13,4,120,23/30,Jaun.,"1,200  €/mēn."
"Cenā iekļauta autostāvvieta + zemi komunālie maksājumi. 
Vasara",ĀgenskalnsMūkusalas 25,2,50,4/6,Jaun.,700  €/mēn.
"Krāsns apkure, gāze, ūdens, atsevišķa tualete kāpņu telpā. 
6.s",centrsKrāsotāju 27B,1,25,6/6,P. kara,119  €/mēn.
Dzīvoklī ir viss nepieciešamais komfortablai dzīvei: mēbeles un,PurvciemsDzelzavas 53,1,31,6/9,467.,250  €/mēn.
No 05.06.24 izīrē jaunu un modernu nelilelo studiu renoveta mājā,ĀgenskalnsVentspils 63c,1,16,1/3,Jaun.,350  €/mēn.
Īpašnieks ilgtermiņā izīrē saulainu nesen izremontētu studio tip,centrsKlijānu 5,1,29,4/5,P. kara,440  €/mēn.
С 1 июня сдаётся однокомнатная квартира со всеми удобствами акку,VecmīlgrāvisMeldru 10,1,18,2/4,Hrušč.,140  €/mēn.
Īpašnieks izīrē dzīvokli tikai pēc remonta Rīgas centrā. Dzivokl,centrsMūrnieku 9,1,25,2/2,Renov.,280  €/mēn.
Uz īri tiek piedāvāts silts un saulains trīs istabu dzīvoklis re,centrsHospitāļu 20,3,63,2/5,Renov.,550  €/mēn.
Ilgtermiņā tiek piedāvāts vienistabu dzīvoklis. Dzīvoklis ir mēb,centrsBrīvības 156/1,1,30,2/5,M. ģim.,400  €/mēn.
"Izīrēju 2 istabu dzīvokli Dārzciemā, A. Deglava ielā 106/2.
Ērt",DārzciemsDeglava 106,2,55,8/9,119.,380  €/mēn.
Saimnieks izīre 1-istabas studio tipa telpu. 1.pazeminātais stāv,TorņakalnsVienības g. 42,1,22,1/5,Staļina,250  €/mēn.
"""Metropolia""
- Квартира с прекрасным видом из окон, можно наблю",ImantaAnniņmuižas 38,2,60,10/18,Jaun.,530  €/mēn.
Mebelēts un labiekartots mazgabarīta studio tipa divu limeņu dzī,SarkandaugavaAlekša 11,1,25,2/3,P. kara,210  €/mēn.
"Saimnieks izīrē ilgtermiņā (līgums). 2 istabas, ar mēbelēm un sa",Maskavas priekšpilsētaLomonosova 3,2,49,5/6,P. kara,380  €/mēn.
"Simpātisks, gaišs dzīvoklis ar 2 guļamistabām profesionālā īres",centrsAlauksta 13,3,48,3/6,Renov.,500  €/mēn.
Mebelēts un labiekartots mazgabarīta studio tipa dzīvoklis labā,centrsKatrīnas d. 26,1,23,2/3,M. ģim.,270  €/mēn.
"Izīrē plašu privātmājas otro stāvu 105 m2 platībā. 

Atsevišķa",PļavniekiSesku 64,3,105,2/2,Priv. m.,800  €/mēn.
Skaists dizaina dzīvoklis meklē īrnieku ilgtermiņa īrei. Ērta at,ĀgenskalnsKristapa 8,1,18,2/4,LT proj.,260  €/mēn.
Tiek piedāvāts 1- ist. dzīvoklis ar centr. apkuri. Jauna santehn,centrsMūrnieku 9,1,25,1/3,Renov.,250  €/mēn.
Ilgtermiņa īrei pieejams 3-istabu dzīvoklis Rīgas klusajā centrā,centrsJeruzalemes 5,3,106,2/7,Jaun.,"1,400  €/mēn."
"Tiek izīrēts saulains, plašs dzīvoklis Jaunajā projektā Ulbrokas",PļavniekiUlbrokas 12K3,2,95,1/9,Jaun.,600  €/mēn.
Labiekārtots numuriņš pie Akropole un krasta Lido. Cena 35Eur/na,Krasta r-nsMaskavas 226,1,20,1/2,Specpr.,35  €/dienā
Tiek izīrēts trīsistabu dzīvoklis 1.stāvā uz ilgstošu laiku. Lab,centrsMiera 95,3,55,1/5,P. kara,230  €/mēn.
"Сдаётся квартира на длительный срок от собственника. 
Квартира",Krasta r-nsLubānas 14,2,50,6/9,467.,380  €/mēn.
"Dzīvoklis 2020.gada uzceltā jaunajā projektā pie TC Domina. 
Ce",TeikaTuraidas 4,2,46,5/5,Jaun.,450  €/mēn.
"Izīrē 2 istabu dzīvokli Juglā, Lizuma ielā 2. Krāsns apkure, ūde",JuglaLizuma 2,2,50,1/1,Hrušč.,190  €/mēn.
"Сдаю в аренду светлую, солнечную квартиру в Старом городе Риги.",VecrīgaKungu 25,3,91,5/7,Jaun.,"1,200  €/mēn."
"Izīrē siltu divistabu dzīvokli Zolitūdē. 

Dzīvoklī ir izolēta",ZolitūdeBieziņa 1,2,55,8/10,119.,380  €/mēn.
Izīrē pilnīgi 2019 renovēts 2-istabu dzīvokli ilgtermiņa īrei Rī,ĀgenskalnsErnestīnes 7,2,54,3/3,Renov.,500  €/mēn.
"Ilgtermiņā tiek izīrēts silts 1-istabas dzīvoklis. 
Gāzes apkur",centrsLaboratorijas 18,1,29,2/4,P. kara,300  €/mēn.
"Labdien . Izīrē 2 istabu dzīvokli labā stāvoklī, no īpašnieka. A",Šampēteris-PleskodāleLielirbes 13,2,68,10/30,Jaun.,700  €/mēn.
"Labdien . Izīrē 3 istabu dzīvokli labā stāvoklī, no īpašnieka. A",Šampēteris-PleskodāleLielirbes 13,3,90,14/30,Jaun.,80  €/dienā
