Title,Location,Rooms,Size,Floor,Series,Price
"2 līmeņu dzīvoklis komforta cienītājiem Āgenskalnā. 

Ideāls d",ĀgenskalnsBaložu 33,5,155,3/3,Jaun.,"1,500  €/mēn."
"Сдаётся уютная 2-комнатная квартира, чистая, светлая. Комнаты из",ImantaDammes 30,2,50,2/5,LT proj.,300  €/mēn.
Izīrē siltu un saulainu 1 istabu dzīvokli. Mēbelēts. Dzīvoklis i,PļavniekiKaudzīšu 1,1,38,6/9,M. ģim.,360  €/mēn.
"Tiek izīrēts 1 istabas dzīvoklis Tomsona ielā 13
+platība 46 kv",centrsTomsona 13,1,46,1/5,P. kara,385  €/mēn.
В проекте Decimus сдается 4-х комнатная квартира с 2 подземными,centrsJeruzalemes 10,4,142,3/6,Jaun.,"2,200  €/mēn."
"Rvr Smart Apartments Riga
Piedāvā īstermiņa īrei mājīgu Studio",TeikaZemgala 77,1,12,3/4,Renov.,27  €/dienā
"Īpašnieks izīrē dzīvokli ar remontu
Pieejama sadzīves tehnika:",ĶengaragsSalaspils 8,1,35,7/12,Čehu pr.,270  €/mēn.
"Tiek izīrēts divistabu dzīvoklis projektā ""Felicity Apartments""",centrsBirznieka-Upīša 13,2,60,2/7,Jaun.,800  €/mēn.
"Izīrēju vienistabas dzīvokli, ar malkas apkuri, jotula krāsniņa,",SarkandaugavaZiemeļu 17,1,24,4/4,P. kara,165  €/mēn.
"Plašs un mājīgs 3-istabu dzīvoklis ar savu balkonu Rīgas Centrā,",centrsBrīvības 152,3,70,4/8,Specpr.,450  €/mēn.
Владелец сдаёт квартиру-студию в частном 3 этажном доме на длите,DārzciemsPildas 44a,1,25,3/3,Priv. m.,200  €/mēn.
Tiek izīrēts gaišs divistabu dzīvoklis saimnieka mājā. Meklēju i,GrīziņkalnsPērnavas 55,2,40,3/4,P. kara,230  €/mēn.
"Kompakts dzīvoklis Vecrīgā ērtai pilsētas dzīvei. 

Ērts plāno",VecrīgaVaļņu 19,2,55,3/7,Renov.,650  €/mēn.
"Cолнечная, неугловая 1 комнатная, полностью меблированная кварти",PurvciemsZvaigznāja g. 3,1,28,4/5,LT proj.,270  €/mēn.
"Saulains un kluss dzīvoklis Vecrīgā. 

Ērts plānojums:
= gait",centrsVaļņu 19,2,60,3/7,Renov.,700  €/mēn.
"Plašs un saulains dzīvoklis Vecrīgā. 

Ērts plānojums:
= gait",centrsVaļņu 19,2,70,4/7,Renov.,650  €/mēn.
"Moderns dzīvoklis Āgenskalnā
Ilgtermiņa īrei tiek piedāvāts jau",ĀgenskalnsBaložu 7,2,53,1/3,Jaun.,650  €/mēn.
"Cолнечная, неугловая 2 комнатная, полностью меблированная кварти",centrsMatīsa 20,2,57,3/3,P. kara,350  €/mēn.
Ar balkonu. Izīrē gaišu un mājīgu studio tipa divistabu dzīvokli,centrsKlijānu 16,2,40,6/9,Jaun.,450  €/mēn.
